Datetime,hour,minute,weekday,timestamp,Room,Staff_Needed_Predicted
2025-03-05 18:30:00,18,30,2,1741199400,Pre-K1,2.0
2025-03-05 19:00:00,19,0,2,1741201200,Pre-K1,2.0
2025-03-05 19:30:00,19,30,2,1741203000,Pre-K1,2.0
2025-03-05 20:00:00,20,0,2,1741204800,Pre-K1,2.0
2025-03-05 20:30:00,20,30,2,1741206600,Pre-K1,2.0
2025-03-05 21:00:00,21,0,2,1741208400,Pre-K1,2.0
2025-03-05 21:30:00,21,30,2,1741210200,Pre-K1,2.0
2025-03-05 22:00:00,22,0,2,1741212000,Pre-K1,2.0
2025-03-05 22:30:00,22,30,2,1741213800,Pre-K1,2.0
2025-03-05 23:00:00,23,0,2,1741215600,Pre-K1,2.0
2025-03-05 23:30:00,23,30,2,1741217400,Pre-K1,2.0
2025-03-06 00:00:00,0,0,3,1741219200,Pre-K1,2.0
2025-03-06 00:30:00,0,30,3,1741221000,Pre-K1,2.0
2025-03-06 01:00:00,1,0,3,1741222800,Pre-K1,2.0
2025-03-06 01:30:00,1,30,3,1741224600,Pre-K1,2.0
2025-03-06 02:00:00,2,0,3,1741226400,Pre-K1,2.0
2025-03-06 02:30:00,2,30,3,1741228200,Pre-K1,2.0
2025-03-06 03:00:00,3,0,3,1741230000,Pre-K1,2.0
2025-03-06 03:30:00,3,30,3,1741231800,Pre-K1,2.0
2025-03-06 04:00:00,4,0,3,1741233600,Pre-K1,2.0
2025-03-06 04:30:00,4,30,3,1741235400,Pre-K1,2.0
2025-03-06 05:00:00,5,0,3,1741237200,Pre-K1,2.0
2025-03-06 05:30:00,5,30,3,1741239000,Pre-K1,2.0
2025-03-06 06:00:00,6,0,3,1741240800,Pre-K1,2.0
2025-03-06 06:30:00,6,30,3,1741242600,Pre-K1,2.0
2025-03-06 07:00:00,7,0,3,1741244400,Pre-K1,2.0
2025-03-06 07:30:00,7,30,3,1741246200,Pre-K1,2.0
2025-03-06 08:00:00,8,0,3,1741248000,Pre-K1,2.0
2025-03-06 08:30:00,8,30,3,1741249800,Pre-K1,2.0
2025-03-06 09:00:00,9,0,3,1741251600,Pre-K1,2.0
2025-03-06 09:30:00,9,30,3,1741253400,Pre-K1,2.0
2025-03-06 10:00:00,10,0,3,1741255200,Pre-K1,2.0
2025-03-06 10:30:00,10,30,3,1741257000,Pre-K1,2.0
2025-03-06 11:00:00,11,0,3,1741258800,Pre-K1,2.0
2025-03-06 11:30:00,11,30,3,1741260600,Pre-K1,2.0
